Place,Type,Location,Nearest Major City
Kanha National Park,National Park,Mandla & Balaghat,Jabalpur
Bandhavgarh National Park,National Park,Umaria,Jabalpur
Pench National Park,National Park,Seoni,Nagpur
Satpura National Park,National Park,Hoshangabad,Bhopal
Panna National Park,National Park,Chhatarpur,Khajuraho
Madhav National Park,National Park,Shivpuri,Gwalior
Sanjay Dubri National Park,National Park,Sidhi,Rewa
Kuno National Park,National Park,Sheopur,Gwalior
Tropic of Cancer Marker,Geographical Landmark,Sehore/Vidisha,Bhopal
Singrauli Fossil Park,Fossil Site,Singrauli,Rewa
Amarkantak,Pilgrimage / River Source,Anuppur,Jabalpur
Pachmarhi,Hill Station,Hoshangabad,Pipariya
Hanumantiya Island,Water Adventure,Khandwa,Indore
Maheshwar,Historical Town,Khargone,Indore
Burhanpur,Historical City,Burhanpur,Khandwa
Chanderi,Fort Town,Ashoknagar,Lalitpur
Mandu,Ruined City,Dhar,Indore
Orchha,Heritage Site,Tikamgarh,Jhansi
Datia Palace,Palace,Datia,Gwalior
Khajuraho Temples,World Heritage Site,Chhatarpur,Khajuraho
Bateshwar Temples,Temple Complex,Morena,Gwalior
Maihar Devi Temple,Shaktipeeth,Satna,Jabalpur
Tawa Dam,Reservoir,Hoshangabad,Itarsi
Garhakota Fort,Fort,Sagar,Sagar
Dhuandhar Falls,Waterfall,Jabalpur,Jabalpur
Bee Falls,Waterfall,Pachmarhi,Pipariya
Rajat Prapat,Waterfall,Pachmarhi,Pipariya
Patalpani Waterfall,Waterfall,Mhow,Indore
Kapildhara Falls,Waterfall,Amarkantak,Jabalpur
Bargi Dam,Dam,Jabalpur,Jabalpur
Tawa Reservoir,Reservoir,Hoshangabad,Bhopal
Choral Dam,Dam,Indore/Mhow,Indore
Sirpur Lake,Bird Sanctuary,Indore,Indore
Gandhi Sagar Wildlife Sanctuary,Wildlife Sanctuary,Mandsaur,Neemuch
