City,Hotel Name,Price per Night (INR),Star Rating,User Review Score,Number of Reviews,Latitude,Longitude,Nearest Railway Station,Distance to Nearest Tourist Site (km),Hotel Category,Amenities,Sources
Bhopal,FabHotel Shrinath Casa Inn,1500,3,9.5,13,23.2599,77.4126,Habibganj Station,6.0,Budget,"['Free Wi-Fi', 'Room Service', '24-hour Front Desk']","['https://www.booking.com/budget/city/in/bhopal.html', 'https://www.agoda.com/theme/cheap-hotels/city/bhopal-in.html']"
Bhopal,The Residency Hotel,2500,3,3.1,532,23.2335,77.4342,Habibganj Station,5.0,Mid-range,"['Free Wi-Fi', 'Restaurant', 'Conference Facilities']","['https://www.makemytrip.com/hotels/the_residency_hotel-details-bhopal.html', 'https://www.booking.com/budget/city/in/bhopal.html', 'https://www.agoda.com/the-vincent-inn-h32268791/hotel/bhopal-in.html']"
Bhopal,Taj Lakefront Bhopal,8000,5,8.9,662,23.2126,77.4031,Habibganj Station,3.0,Luxury,"['Free Wi-Fi', 'Outdoor Pool', 'Fitness Center', 'Spa', 'Multiple Dining Options']",['https://www.booking.com/fivestars/city/in/bhopal.html']
Gwalior,FabHotel Sumangal,1200,3,6.6,70,26.2183,78.1828,Gwalior Junction,3.0,Budget,"['Free Wi-Fi', 'Room Service', '24-hour Front Desk']","['https://www.booking.com', 'https://www.yatradham.org']"
Gwalior,Hotel Gwalior Regency,2500,3,3.8,150,26.2183,78.1828,Gwalior Junction,2.0,Mid-range,"['Restaurant', 'Conference Facilities', 'Free Wi-Fi']","['https://www.travelguru.com', 'https://www.makemytrip.com', 'https://www.booking.com']"
Gwalior,Taj Usha Kiran Palace,8000,5,4.5,200,26.2183,78.1828,Gwalior Junction,2.0,Luxury,"['Free Wi-Fi', 'Outdoor Pool', 'Spa', 'Heritage Property']",['https://www.booking.com']
Jabalpur,Hotel Samdariya Inn,1484,3,3.5,763,23.1667,79.9333,Jabalpur Junction,1.5,Budget,"['Restaurant', '24-hour Room Service', 'Kids Play Area']","['https://www.yatradham.org', 'https://www.makemytrip.com', 'https://www.wikipedia.org', 'https://www.booking.com', 'https://www.yatra.com', 'https://www.holidify.com']"
Jabalpur,Sukoon Pearl Inn,932,3,3.7,70,23.1667,79.9333,Jabalpur Junction,4.0,Mid-range,"['Rooftop Restaurant', 'Bar', 'Wi-Fi']","['https://www.holidify.com', 'https://www.makemytrip.com', 'https://www.booking.com', 'https://www.wikipedia.org', 'https://www.architecturaldigest.com']"
Jabalpur,Narmada Jacksons Hotel,4500,4,4.2,350,23.1667,79.9333,Jabalpur Junction,10.0,Luxury,"['Free Wi-Fi', 'Outdoor Pool', 'Spa', 'Fitness Center']","['https://www.booking.com', 'https://www.makemytrip.com']"
Khandwa,Hotel Khandwa Regency,1200,2,3.5,45,21.8225,76.3523,Khandwa Junction,4.0,Budget,"['Free Wi-Fi', 'Room Service', 'Parking']","['https://www.makemytrip.com/hotels/khandwa-hotels.html', 'https://www.booking.com/city/in/khandwa.html']"
Khandwa,Hotel Ashoka International,2500,3,4.0,100,21.824,76.352,Khandwa Junction,5.0,Mid-range,"['Free Wi-Fi', 'Restaurant', 'Parking']","['https://www.agoda.com/khandwa-hotels', 'https://www.makemytrip.com/hotels/khandwa-hotels.html']"
Khandwa,Hotel Khandwa Continental,6000,4,4.3,75,21.8235,76.35,Khandwa Junction,6.0,Luxury,"['Free Wi-Fi', 'Pool', 'Spa', 'Restaurant', 'Parking']","['https://www.booking.com/city/in/khandwa.html', 'https://www.agoda.com/khandwa-hotels']"
Chhatarpur,Hotel Chhatarpur Palace,1000,2,3.4,30,24.8325,79.6133,Chhatarpur Station,10.0,Budget,"['Free Wi-Fi', 'Room Service', 'Parking']","['https://www.makemytrip.com/hotels/chhatarpur-hotels.html', 'https://www.booking.com/city/in/chhatarpur.html']"
Chhatarpur,The Meridian Resort,3000,3,4.1,85,24.83,79.61,Chhatarpur Station,12.0,Mid-range,"['Free Wi-Fi', 'Restaurant', 'Swimming Pool']","['https://www.agoda.com/chhatarpur-hotels', 'https://www.makemytrip.com/hotels/chhatarpur-hotels.html']"
Chhatarpur,Radisson Jass Hotel,7000,4,4.5,120,24.828,79.615,Chhatarpur Station,8.0,Luxury,"['Free Wi-Fi', 'Pool', 'Spa', 'Fitness Center', 'Restaurant']","['https://www.booking.com/city/in/chhatarpur.html', 'https://www.agoda.com/chhatarpur-hotels']"
Indore,Hotel Indore Palace,1100,3,4.0,100,22.7196,75.8577,Indore Junction,3.0,Budget,"['Free Wi-Fi', 'Room Service', 'Parking']",['https://www.booking.com/indore-hotels']
Indore,Radisson Blu Indore,3500,4,4.4,200,22.7196,75.8577,Indore Junction,4.0,Mid-range,"['Free Wi-Fi', 'Pool', 'Fitness Center', 'Restaurant']",['https://www.booking.com/indore-hotels']
Indore,Sayaji Hotel Indore,7000,5,4.6,300,22.7196,75.8577,Indore Junction,3.0,Luxury,"['Free Wi-Fi', 'Spa', 'Pool', 'Fitness Center', 'Restaurant']",['https://www.booking.com/indore-hotels']
Ujjain,Hotel Ujjain Heritage,900,2,3.6,50,23.1793,75.7849,Ujjain Junction,2.0,Budget,"['Free Wi-Fi', 'Room Service']",['https://www.makemytrip.com/hotels/ujjain-hotels.html']
Ujjain,Mangal City Inn,2300,3,4.0,70,23.18,75.785,Ujjain Junction,3.0,Mid-range,"['Free Wi-Fi', 'Restaurant']",['https://www.booking.com/ujjain-hotels']
Ujjain,The Fern Sidhartha Ujjain,5500,4,4.4,150,23.181,75.786,Ujjain Junction,2.0,Luxury,"['Free Wi-Fi', 'Pool', 'Spa', 'Fitness Center', 'Restaurant']",['https://www.booking.com/ujjain-hotels']
