City Name,Most Visited Tourist Spot,Average Footfall per Month,Visitor Rating,Most Visited Season,Least Visited Season,Events/Festivals,Average Stay Length (days),Hotel Rating Average,City Weather (Temp),Tourist_Type,Peak_Visitor_Count,Off-Season_Visitor_Count,Hotel_Reservation_Trend,Popular_Travel_Mode,Tourist_Activity_Preference,Event_Frequency,Seasonal_Food_Likes,Average_Travel_Expense,Tourist_Satisfaction_Score,Local_Experience_Rating,Hotel_Type,City_Attraction_Impact,Tourist_Demographics,Weekend vs Weekday Tourism,Peak_Holiday_Spike,Local_Employment_From_Tourism,Weather_Impact_On_Tourism,Tourism_Investment_Trend
Bhopal,Sanchi Stupa,2000,4.5,Nov - Feb,May - June,Sanchi Festival,3,4.2,24°C - 30°C,Domestic,2500,800,180,Train,Cultural,2,Spicy Snacks,15000,4.7,4.6,Mid-range,100000,Adults,Weekend,3000,500,0.7,5000000
Ujjain,Mahakaleshwar Temple,1500,4.7,Oct - Dec,Apr - Jun,Simhastha Mela,2,4.5,30°C - 40°C,Domestic,2000,600,160,Train,Religious,3,Chilled Drinks,12000,4.8,4.7,Luxury,120000,Adults,Weekend,2500,600,0.8,6000000
Indore,Rajwada Palace,2500,4.3,Oct - Mar,May - July,Indore Fashion Week,3,4.1,25°C - 35°C,Domestic,2800,700,220,Flight,Cultural,1,Chaat,16000,4.5,4.4,Budget,110000,Families,Weekday,3200,700,0.6,5500000
Gwalior,Gwalior Fort,1800,4.6,Oct - Dec,Jun - Aug,Gwalior Trade Fair,2,4.3,20°C - 30°C,Domestic,2300,500,190,Train,Cultural,2,Street Food,14000,4.6,4.5,Mid-range,105000,Young Adults,Weekend,2700,550,0.7,5200000
Jabalpur,Kachnar City Shiva Temple,1200,4.4,Dec - Feb,Apr - June,Madan Mahal Fort Festival,2,4.2,25°C - 35°C,Domestic,1500,300,140,Train,Religious,1,Spicy Snacks,10000,4.4,4.3,Budget,90000,Seniors,Weekday,2000,450,0.5,4800000
Satna,Chitrakoot,800,4.2,Nov - Feb,May - July,Chitrakoot Mela,3,4.1,22°C - 32°C,Domestic,1200,400,120,Train,Nature,2,Chilled Drinks,9000,4.5,4.6,Budget,80000,Families,Weekend,2500,300,0.6,4700000
Seoni,Kanha National Park,600,4.3,Nov - Feb,Apr - June,Kanha Wildlife Festival,2,4.2,20°C - 30°C,Domestic,1000,350,110,Bus,Adventure,3,Spicy Snacks,9500,4.4,4.5,Mid-range,75000,Young Adults,Weekend,2200,350,0.7,4600000
Katni,Kachnar City Shiva Temple,700,4.1,Dec - Feb,May - July,Kachnar Festival,2,4.0,23°C - 33°C,Domestic,1100,300,100,Train,Religious,1,Chilled Drinks,8500,4.3,4.4,Budget,72000,Adults,Weekend,2400,400,0.6,4500000
Chhatarpur,Raneh Falls,650,4.5,Oct - Mar,Apr - June,Raneh Falls Festival,3,4.3,25°C - 35°C,Domestic,1300,500,130,Bus,Nature,2,Chaat,10500,4.6,4.7,Luxury,95000,Seniors,Weekday,2800,500,0.8,4900000
Khandwa,Omkareshwar Temple,1100,4.3,Oct - Dec,May - June,Omkareshwar Mela,2,4.1,28°C - 38°C,Domestic,1800,600,160,Train,Religious,2,Street Food,11000,4.4,4.5,Mid-range,98000,Adults,Weekend,2300,450,0.6,5100000
