,MP Destination Station,Train Number,Train Name,Source City,Departure Time,Arrival Time,Duration (hrs),Frequency,3AC Cost (INR),Sleeper Cost (INR)
0,Gwalior,12197,Bhopal–Gwalior Intercity Exp,Bhopal,15:30,00:15,8.75,Daily,850,320
1,Gwalior,4197,Bhopal–Gwalior Special,Bhopal,15:20,00:05,8.75,"Mon, Wed, Fri",840,310
2,Gwalior,12593,Gwalior SF Express,Bhopal,06:00,13:30,7.5,"Tue, Thu, Sat",830,300
3,Katni,12161,Bhopal–Katni Superfast,Bhopal,07:00,13:30,6.5,Daily,780,290
4,Katni,11465,Bhopal–Katni Express,Bhopal,14:00,21:00,7.0,"Mon, Wed, Fri",760,280
5,Katni,18235,Bhopal–Katni Passenger,Bhopal,22:00,06:00,8.0,"Tue, Thu, Sat",750,270
6,Seoni,14624,Patalkot Express,Bhopal,22:34,07:15,8.68,Daily,750,250
7,Seoni,19343,Panchvalley Express,Bhopal,18:27,05:00,10.55,Daily,680,240
8,Seoni,11271,Vindhyachal Express,Bhopal,06:00,15:00,9.0,"Mon, Wed, Fri",700,260
9,Indore,19304,Bhopal–Indore Express,Bhopal,23:00,04:35,5.58,Daily,700,250
10,Indore,19344,Panchvalley Express,Bhopal,08:15,12:45,4.5,Daily,680,240
11,Indore,11703,Rewa–Indore Express,Bhopal,09:51,14:30,4.65,"Tue, Thu, Sat",690,245
12,Ujjain,59320,Bhopal–Ujjain Passenger,Bhopal,06:25,11:15,4.83,Daily,600,220
13,Ujjain,19322,Indore–Ujjain Intercity,Bhopal,14:00,18:00,4.0,"Mon, Wed, Fri",620,230
14,Ujjain,22911,Shipra Express,Bhopal,03:35,08:00,4.42,"Tue, Thu, Sat",640,240
15,Jabalpur,12192,Shridham Express,Bhopal,17:00,23:00,6.0,Daily,780,290
16,Jabalpur,11465,Bhopal–Jabalpur Express,Bhopal,07:00,13:30,6.5,"Mon, Wed, Fri",760,280
17,Jabalpur,18235,Bhopal–Jabalpur Passenger,Bhopal,22:00,06:00,8.0,"Tue, Thu, Sat",750,270
18,Satna,11071,Kamayani Express,Bhopal,04:15,12:00,7.75,Daily,790,295
19,Satna,12185,Rewanchal Express,Bhopal,22:15,06:30,8.25,Daily,835,325
20,Satna,11704,DADN–Rewa Express,Bhopal,01:25,10:10,8.75,"Tue, Thu, Sat",820,310
21,Chhatarpur,22163,Bhopal–Khajuraho Mahamana Exp,Bhopal,06:50,13:30,6.67,Daily,700,260
22,Chhatarpur,12161,Bhopal–Chhatarpur Express,Bhopal,14:00,20:00,6.0,"Mon, Wed, Fri",720,270
23,Chhatarpur,18235,Bhopal–Chhatarpur Passenger,Bhopal,22:00,06:00,8.0,"Tue, Thu, Sat",710,265
24,Khandwa,12628,Karnataka Express,Bhopal,06:40,11:07,4.45,Daily,700,250
25,Khandwa,12533,Pushpak Express,Bhopal,07:20,11:57,4.62,Daily,720,260
26,Khandwa,11072,Kamayani Express,Bhopal,08:05,12:53,4.8,Daily,710,255
27,Omkareshwar,19344,Panchvalley Express,Bhopal,08:15,12:45,4.5,Daily,680,240
28,Omkareshwar,11703,Rewa–Indore Express,Bhopal,09:51,14:30,4.65,"Tue, Thu, Sat",690,245
29,Omkareshwar,18234,Narmada Express,Bhopal,03:35,10:55,7.33,"Mon, Wed, Fri",700,250
30,Khajuraho,22163,Bhopal–Khajuraho Mahamana Exp,Bhopal,06:50,13:30,6.67,Daily,700,260
31,Khajuraho,12161,Bhopal–Khajuraho Express,Bhopal,14:00,20:00,6.0,"Mon, Wed, Fri",720,270
32,Khajuraho,18235,Bhopal–Khajuraho Passenger,Bhopal,22:00,06:00,8.0,"Tue, Thu, Sat",710,265
33,Bhopal,12919,Malwa Express,Indore,12:15,16:00,3.75,Daily,700,250
34,Bhopal,19303,Indore–Bhopal Express,Indore,23:15,03:00,3.75,Daily,680,240
35,Bhopal,22911,Shipra Express,Indore,23:30,03:15,3.75,"Tue, Thu, Sat",690,245
36,Gwalior,11125,Indore–Gwalior Express,Indore,19:50,07:37,11.78,Daily,800,300
37,Gwalior,14317,Indore–Dehradun Express,Indore,18:40,06:10,11.5,"Mon, Wed, Fri",820,310
38,Gwalior,12919,Malwa Express,Indore,12:15,22:54,10.65,"Tue, Thu, Sat",810,305
39,Katni,18233,Narmada Express,Indore,16:00,06:50,14.83,Daily,850,320
40,Katni,11704,Rewa Express,Indore,20:25,08:20,11.92,"Mon, Wed, Fri",830,310
41,Katni,22911,Shipra Express,Indore,23:30,10:40,11.17,"Tue, Thu, Sat",840,315
42,Seoni,18233,Narmada Express,Indore,16:00,06:50,14.83,Daily,850,320
43,Seoni,11704,Rewa Express,Indore,20:25,08:20,11.92,"Mon, Wed, Fri",830,310
44,Seoni,22911,Shipra Express,Indore,23:30,10:40,11.17,"Tue, Thu, Sat",840,315
45,Ujjain,12919,Malwa Express,Indore,12:15,13:45,1.5,Daily,300,120
46,Ujjain,19303,Indore–Bhopal Express,Indore,23:15,00:40,1.42,Daily,290,110
47,Ujjain,22911,Shipra Express,Indore,23:30,00:55,1.42,"Tue, Thu, Sat",295,115
48,Jabalpur,18233,Narmada Express,Indore,16:00,06:50,14.83,Daily,850,320
49,Jabalpur,11704,Rewa Express,Indore,20:25,08:20,11.92,"Mon, Wed, Fri",830,310
50,Jabalpur,22911,Shipra Express,Indore,23:30,10:40,11.17,"Tue, Thu, Sat",840,315
51,Satna,11704,Rewa Express,Indore,20:25,10:10,13.75,"Mon, Wed, Fri",820,310
52,Satna,22911,Shipra Express,Indore,23:30,12:50,13.33,"Tue, Thu, Sat",830,315
53,Satna,14115,Prayagraj Express,Indore,12:00,03:33,15.55,"Mon, Wed, Fri",840,320
54,Chhatarpur,19663,Indore–Khajuraho Express,Indore,15:55,06:00,14.08,Daily,800,300
55,Chhatarpur,14115,Prayagraj Express,Indore,12:00,22:50,10.83,"Mon, Wed, Fri",820,310
56,Chhatarpur,11704,Rewa Express,Indore,20:25,08:20,11.92,"Tue, Thu, Sat",810,305
57,Khandwa,12919,Malwa Express,Indore,12:15,15:00,2.75,Daily,600,220
58,Khandwa,19303,Indore–Bhopal Express,Indore,23:15,02:00,2.75,Daily,590,210
59,Khandwa,22911,Shipra Express,Indore,23:30,02:15,2.75,"Tue, Thu, Sat",595,215
60,Omkareshwar,18233,Narmada Express,Indore,16:00,19:00,3.0,Daily,500,180
61,Omkareshwar,19303,Indore–Bhopal Express,Indore,23:15,02:15,3.0,Daily,490,170
62,Omkareshwar,22911,Shipra Express,Indore,23:30,02:30,3.0,"Tue, Thu, Sat",495,175
63,Khajuraho,19663,Indore–Khajuraho Express,Indore,15:55,06:00,14.08,Daily,800,300
64,Khajuraho,14115,Prayagraj Express,Indore,12:00,22:50,10.83,"Mon, Wed, Fri",820,310
65,Khajuraho,11704,Rewa Express,Indore,20:25,08:20,11.92,"Tue, Thu, Sat",810,305
66,Bhopal,12920,Malwa Express,Gwalior,00:35,07:55,7.33,Daily,700,250
67,Bhopal,12616,Grand Trunk Exp,Gwalior,23:31,06:30,7.0,Daily,720,260
68,Bhopal,12156,NZM RKMP SF Exp,Gwalior,18:00,01:00,7.0,"Mon, Thu, Sat",710,255
69,Indore,12920,Malwa Express,Gwalior,00:35,11:00,10.42,Daily,800,300
70,Indore,14320,BE INDB Exp,Gwalior,21:40,08:30,10.83,Wed,780,290
71,Indore,19308,CDG INDB Exp,Gwalior,05:30,16:15,10.75,"Tue, Fri",790,295
72,Jabalpur,12122,M P S Kranti Exp,Gwalior,21:55,07:25,9.5,"Mon, Thu, Sat",850,320
73,Jabalpur,22182,NZM JBP SF Exp,Gwalior,21:34,07:25,9.85,"Tue, Fri",840,315
74,Jabalpur,1710,ATT JBP SPL,Gwalior,07:30,17:20,9.83,Mon,830,310
75,Ujjain,12920,Malwa Express,Gwalior,01:27,11:20,9.88,Daily,800,300
76,Ujjain,11126,InterCity Express,Gwalior,19:50,05:02,9.2,Daily,790,295
77,Ujjain,20962,BSBS UDN SF Exp,Gwalior,04:10,12:35,8.42,"Tue, Fri",780,290
78,Katni,12122,M P S Kranti Exp,Gwalior,21:55,05:30,7.58,"Mon, Thu, Sat",850,320
79,Katni,18478,Kalinga Utkal Exp,Gwalior,16:43,02:10,9.45,Daily,840,315
80,Katni,20808,Hirakund Express,Gwalior,12:34,21:00,8.43,"Wed, Sat",830,310
81,Seoni,14624,Patalkot Express,Gwalior,16:07,07:15,15.13,Fri,900,350
82,Seoni,20961,UDN BSBS SFAST,Gwalior,00:50,14:00,13.17,Mon,890,345
83,Seoni,9117,ST SFG SF SPL,Gwalior,22:15,11:30,13.25,Thu,880,340
84,Satna,12190,Mahakaushal Exp,Gwalior,21:26,06:25,9.0,Daily,820,310
85,Satna,12176,Chambal Express,Gwalior,07:15,16:30,9.25,"Tue, Thu, Sat",810,305
86,Satna,11107,Bundelkhand Exp,Gwalior,04:15,13:20,9.08,"Mon, Wed, Fri",800,300
87,Chhatarpur,12176,Chambal Express,Gwalior,07:15,12:30,5.25,"Tue, Thu, Sat",600,220
88,Chhatarpur,11842,Gita Jayanti Exp,Gwalior,00:18,06:00,5.7,"Mon, Wed, Fri",590,210
89,Chhatarpur,22470,Vande Bharat Exp,Gwalior,09:10,14:20,5.17,"Tue, Thu, Sat",580,205
90,Khandwa,12628,Karnataka Exp,Gwalior,01:30,11:00,9.5,Daily,850,320
91,Khandwa,12716,Sachkhand Exp,Gwalior,17:08,02:30,9.37,"Mon, Thu",840,315
92,Khandwa,12486,SGNR NED SF Exp,Gwalior,03:00,13:05,10.08,"Tue, Fri",830,310
93,Omkareshwar,12628,Karnataka Exp,Gwalior,01:30,11:07,9.62,Daily,850,320
94,Omkareshwar,12716,Sachkhand Exp,Gwalior,17:08,02:30,9.37,"Mon, Thu",840,315
95,Omkareshwar,12780,Goa Express,Gwalior,20:26,06:30,10.07,"Wed, Sat",830,310
96,Khajuraho,11842,Gita Jayanti Exp,Gwalior,00:18,08:00,7.7,"Mon, Wed, Fri",600,220
97,Khajuraho,22470,Vande Bharat Exp,Gwalior,09:10,14:20,5.17,"Tue, Thu, Sat",590,210
98,Khajuraho,19666,UDZ KURJ Exp,Gwalior,12:16,19:05,6.82,"Mon, Tue",580,205
99,Bhopal,12920,Malwa Express,Gwalior,00:35,07:55,7.33,Daily,700,250
100,Bhopal,12616,Grand Trunk Exp,Gwalior,23:31,06:30,7.0,Daily,720,260
101,Bhopal,12156,NZM RKMP SF Exp,Gwalior,18:00,01:00,7.0,"Mon, Thu, Sat",710,255
102,Indore,12920,Malwa Express,Gwalior,00:35,11:00,10.42,Daily,800,300
103,Indore,14320,BE INDB Exp,Gwalior,21:40,08:30,10.83,Wed,780,290
104,Indore,19308,CDG INDB Exp,Gwalior,05:30,16:15,10.75,"Tue, Fri",790,295
105,Jabalpur,12122,M P S Kranti Exp,Gwalior,21:55,07:25,9.5,"Mon, Thu, Sat",850,320
106,Jabalpur,22182,NZM JBP SF Exp,Gwalior,21:34,07:25,9.85,"Tue, Fri",840,315
107,Jabalpur,1710,ATT JBP SPL,Gwalior,07:30,17:20,9.83,Mon,830,310
108,Ujjain,12920,Malwa Express,Gwalior,01:27,11:20,9.88,Daily,800,300
109,Ujjain,11126,InterCity Express,Gwalior,19:50,05:02,9.2,Daily,790,295
110,Ujjain,20962,BSBS UDN SF Exp,Gwalior,04:10,12:35,8.42,"Tue, Fri",780,290
111,Katni,12122,M P S Kranti Exp,Gwalior,21:55,05:30,7.58,"Mon, Thu, Sat",850,320
112,Katni,18478,Kalinga Utkal Exp,Gwalior,16:43,02:10,9.45,Daily,840,315
113,Katni,20808,Hirakund Express,Gwalior,12:34,21:00,8.43,"Wed, Sat",830,310
114,Seoni,14624,Patalkot Express,Gwalior,16:07,07:15,15.13,Fri,900,350
115,Seoni,20961,UDN BSBS SFAST,Gwalior,00:50,14:00,13.17,Mon,890,345
116,Seoni,9117,ST SFG SF SPL,Gwalior,22:15,11:30,13.25,Thu,880,340
